,ZCTA5CE10,GEOID10,INTPTLAT10,INTPTLON10
480,11358,11358,+40.7604710,-073.7963711
481,11359,11359,+40.7917856,-073.7768669
482,11360,11360,+40.7802937,-073.7812055
483,11361,11361,+40.7641909,-073.7727748
484,11362,11362,+40.7565736,-073.7378447
485,11363,11363,+40.7726163,-073.7465255
486,11364,11364,+40.7452962,-073.7606074
487,11365,11365,+40.7396342,-073.7944896
488,11366,11366,+40.7281522,-073.7850187
489,11367,11367,+40.7301446,-073.8270304
490,11368,11368,+40.7494072,-073.8527798
491,11369,11369,+40.7633359,-073.8724429
492,11370,11370,+40.7653703,-073.8932425
493,11371,11371,+40.7738362,-073.8733994
494,11372,11372,+40.7516897,-073.8836380
495,11373,11373,+40.7388252,-073.8785076
496,11374,11374,+40.7263875,-073.8615086
497,11375,11375,+40.7209355,-073.8461509
498,11377,11377,+40.7447883,-073.9051811
499,11579,11579,+40.8440160,-073.6440064
500,11580,11580,+40.6749000,-073.7021543
501,11581,11581,+40.6510280,-073.7153252
502,11590,11590,+40.7551819,-073.5743378
503,11596,11596,+40.7596674,-073.6423077
504,11598,11598,+40.6309189,-073.7123360
505,11691,11691,+40.6012782,-073.7616509
506,11692,11692,+40.5940945,-073.7928961
507,11693,11693,+40.5906918,-073.8097488
508,11694,11694,+40.5782702,-073.8447616
509,11697,11697,+40.5556810,-073.9206884
510,11701,11701,+40.6814330,-073.4100985
511,11702,11702,+40.6505807,-073.2624134
512,11955,11955,+40.8091254,-072.8160956
513,12157,12157,+42.6697984,-074.2860767
514,12158,12158,+42.5420925,-073.8221239
515,12159,12159,+42.6514277,-073.8858937
516,12160,12160,+42.7616206,-074.3831525
517,12161,12161,+42.5347691,-073.8548632
518,12164,12164,+43.5879950,-074.3587060
519,12448,12448,+42.0900113,-074.1579698
520,12449,12449,+41.9923551,-073.9937054
521,12564,12564,+41.5826167,-073.5825874
522,12565,12565,+42.2471278,-073.6476383
523,12566,12566,+41.6335187,-074.3196610
524,12567,12567,+41.9861957,-073.6422212
525,12569,12569,+41.7345565,-073.7928402
